"category","crops","country","value"
"fruits","mangosteen","Kyrgyz Republic",0
"fruits","mangosteen","Lao PDR",0
"fruits","mangosteen","Latvia",0
"fruits","mangosteen","Lebanon",0
"fruits","mangosteen","Lesotho",0
"fruits","mangosteen","Liberia",0
"fruits","mangosteen","Libya",0
"fruits","mangosteen","Liechtenstein",0
"fruits","mangosteen","Lithuania",0
"fruits","mangosteen","Luxembourg",0
"fruits","mangosteen","Macao SAR, China",0
"fruits","mangosteen","Madagascar",0
"fruits","mangosteen","Malawi",0
"fruits","mangosteen","Malaysia",40
"fruits","mangosteen","Maldives",1
"fruits","mangosteen","Mali",0
"fruits","mangosteen","Malta",0
"fruits","mangosteen","Marshall Islands",0
"fruits","mangosteen","Martinique",0
"fruits","mangosteen","Mauritania",0
"fruits","mangosteen","Mauritius",0
"fruits","mangosteen","Mayotte",0
"fruits","mangosteen","Mexico",7
"fruits","mangosteen","Micronesia, Fed. Sts.",0
"fruits","mangosteen","Moldova",0
"fruits","mangosteen","Monaco",0
"fruits","mangosteen","Mongolia",0
"fruits","mangosteen","Montenegro",1
"fruits","mangosteen","Montserrat",0
"fruits","mangosteen","Morocco",0
"fruits","mangosteen","Mozambique",0
"fruits","mangosteen","Myanmar",4
"fruits","mangosteen","Namibia",0
"fruits","mangosteen","Nauru",0
"fruits","mangosteen","Nepal",0
"fruits","mangosteen","Netherlands",4
"fruits","mangosteen","New Caledonia",1
"fruits","mangosteen","New Zealand",3
"fruits","mangosteen","Nicaragua",0
"fruits","mangosteen","Niger",1
"fruits","mangosteen","Nigeria",4
"fruits","mangosteen","Niue",0
"fruits","mangosteen","Norfolk Island",0
"fruits","mangosteen","North Macedonia",0
"fruits","mangosteen","Northern Mariana Islands",0
"fruits","mangosteen","Norway",3
"fruits","mangosteen","Oman",0
"fruits","mangosteen","Pakistan",4
"fruits","mangosteen","Palau",0
"fruits","mangosteen","Palestine",0
"fruits","mangosteen","Panama",0
"fruits","mangosteen","Papua New Guinea",0
